iden,char,code
0,AA==,3
1,AQ==,3
2,Ag==,3
3,Aw==,3
4,BA==,3
5,BQ==,3
6,Bg==,3
7,Bw==,3
8,CA==,3
9,	,3
10,"
",3
11,,3
12,,3
13,"",3
14,Dg==,3
15,Dw==,3
16,EA==,3
17,EQ==,3
18,Eg==,3
19,Ew==,3
20,FA==,4
21,FQ==,3
22,Fg==,3
23,Fw==,3
24,GA==,3
25,GQ==,3
26,Gg==,3
27,Gw==,3
28,HA==,3
29,HQ==,3
30,Hg==,3
31,Hw==,3
32, ,3
33,!,3
34,"""",3
35,#,3
36,$,3
37,%,3
38,&,3
39,',3
40,(,3
41,),3
42,*,3
43,+,3
44,",",3
45,-,3
46,.,3
47,/,3
48,0,4
49,1,4
50,2,4
51,3,4
52,4,4
53,5,4
54,6,4
55,7,4
56,8,4
57,9,4
58,:,3
59,;,3
60,<,3
61,=,3
62,>,3
63,?,3
64,@,3
65,A,-1
66,B,4
67,C,-1
68,D,-1
69,E,-1
70,F,4
71,G,-1
72,H,-1
73,I,-1
74,J,-1
75,K,4
76,L,-1
77,M,-1
78,N,-1
79,O,-1
80,P,4
81,Q,-1
82,R,-1
83,S,4
84,T,-1
85,U,-1
86,V,-1
87,W,-1
88,X,4
89,Y,-1
90,Z,-1
91,[,3
92,\,3
93,],3
94,^,3
95,_,3
96,`,3
97,a,-1
98,b,-1
99,c,-1
100,d,-1
101,e,-1
102,f,4
103,g,-1
104,h,-1
105,i,-1
106,j,-1
107,k,4
108,l,-1
109,m,-1
110,n,-1
111,o,-1
112,p,4
113,q,-1
114,r,-1
115,s,-1
116,t,4
117,u,-1
118,v,-1
119,w,-1
120,x,4
121,y,-1
122,z,-1
123,{,3
124,|,3
125,},3
126,~,3
127,fw==,3
128,woA=,3
129,woE=,3
130,woI=,3
131,woM=,3
132,woQ=,3
133,,3
134,woY=,3
135,woc=,3
136,wog=,3
137,wok=,3
138,woo=,3
139,wos=,3
140,wow=,3
141,wo0=,3
142,wo4=,3
143,wo8=,3
144,wpA=,3
145,wpE=,3
146,wpI=,3
147,wpM=,3
148,wpQ=,3
149,wpU=,3
150,wpY=,3
151,wpc=,3
152,wpg=,3
153,wpk=,3
154,wpo=,3
155,wps=,3
156,wpw=,3
157,wp0=,3
158,wp4=,3
159,wp8=,3
160, ,3
161,¡,3
162,¢,3
163,£,3
164,¤,3
165,¥,3
166,¦,3
167,§,3
168,¨,3
169,©,3
170,ª,3
171,«,3
172,¬,3
173,­,3
174,®,3
175,¯,3
176,°,3
177,±,3
178,²,3
179,³,3
180,´,3
181,µ,3
182,¶,3
183,·,3
184,¸,3
185,¹,3
186,º,3
187,»,3
188,¼,3
189,½,3
190,¾,3
191,¿,3
192,À,3
193,Á,3
194,Â,3
195,Ã,3
196,Ä,3
197,Å,3
198,Æ,3
199,Ç,3
200,È,3
201,É,3
202,Ê,3
203,Ë,3
204,Ì,3
205,Í,3
206,Î,3
207,Ï,3
208,Ð,3
209,Ñ,3
210,Ò,3
211,Ó,3
212,Ô,3
213,Õ,3
214,Ö,3
215,×,3
216,Ø,3
217,Ù,3
218,Ú,3
219,Û,3
220,Ü,3
221,Ý,3
222,Þ,3
223,ß,3
224,à,3
225,á,3
226,â,3
227,ã,3
228,ä,3
229,å,3
230,æ,3
231,ç,3
232,è,3
233,é,3
234,ê,3
235,ë,3
236,ì,3
237,í,3
238,î,3
239,ï,3
240,ð,3
241,ñ,3
242,ò,3
243,ó,3
244,ô,3
245,õ,3
246,ö,3
247,÷,3
248,ø,3
249,ù,3
250,ú,3
251,û,3
252,ü,3
253,ý,3
254,þ,3
255,ÿ,3
256,Ā,3
257,ā,3
258,Ă,3
259,ă,3
260,Ą,3
261,ą,3
262,Ć,3
263,ć,3
264,Ĉ,3
265,ĉ,3
266,Ċ,3
267,ċ,3
268,Č,3
269,č,3
270,Ď,3
271,ď,3
272,Đ,3
273,đ,3
274,Ē,3
275,ē,3
276,Ĕ,3
277,ĕ,3
278,Ė,3
279,ė,3
280,Ę,3
281,ę,3
282,Ě,3
283,ě,3
284,Ĝ,3
285,ĝ,3
286,Ğ,3
287,ğ,3
288,Ġ,3
289,ġ,3
290,Ģ,3
291,ģ,3
292,Ĥ,3
293,ĥ,3
294,Ħ,3
295,ħ,3
296,Ĩ,3
297,ĩ,3
298,Ī,3
299,ī,3
300,Ĭ,3
301,ĭ,3
302,Į,3
303,į,3
304,İ,3
305,ı,3
306,Ĳ,3
307,ĳ,3
308,Ĵ,3
309,ĵ,3
310,Ķ,3
311,ķ,3
312,ĸ,3
313,Ĺ,3
314,ĺ,3
315,Ļ,3
316,ļ,3
317,Ľ,3
318,ľ,3
319,Ŀ,3
320,ŀ,3
321,Ł,3
322,ł,3
323,Ń,3
324,ń,3
325,Ņ,3
326,ņ,3
327,Ň,3
328,ň,3
329,ŉ,3
330,Ŋ,3
331,ŋ,3
332,Ō,3
333,ō,3
334,Ŏ,3
335,ŏ,3
336,Ő,3
337,ő,3
338,Œ,3
339,œ,3
340,Ŕ,3
341,ŕ,3
342,Ŗ,3
343,ŗ,3
344,Ř,3
345,ř,3
346,Ś,3
347,ś,3
348,Ŝ,3
349,ŝ,3
350,Ş,3
351,ş,3
352,Š,3
353,š,3
354,Ţ,3
355,ţ,3
356,Ť,3
357,ť,3
358,Ŧ,3
359,ŧ,3
360,Ũ,3
361,ũ,3
362,Ū,3
363,ū,3
364,Ŭ,3
365,ŭ,3
366,Ů,3
367,ů,3
368,Ű,3
369,ű,3
370,Ų,3
371,ų,3
372,Ŵ,3
373,ŵ,3
374,Ŷ,3
375,ŷ,3
376,Ÿ,3
377,Ź,3
378,ź,3
379,Ż,3
380,ż,3
381,Ž,3
382,ž,3
383,ſ,3
384,ƀ,3
385,Ɓ,3
386,Ƃ,3
387,ƃ,3
388,Ƅ,3
389,ƅ,3
390,Ɔ,3
391,Ƈ,3
392,ƈ,3
393,Ɖ,3
394,Ɗ,3
395,Ƌ,3
396,ƌ,3
397,ƍ,3
398,Ǝ,3
399,Ə,3
400,Ɛ,3
401,Ƒ,3
402,ƒ,3
403,Ɠ,3
404,Ɣ,3
405,ƕ,3
406,Ɩ,3
407,Ɨ,3
408,Ƙ,3
409,ƙ,3
410,ƚ,3
411,ƛ,3
412,Ɯ,3
413,Ɲ,3
414,ƞ,3
415,Ɵ,3
416,Ơ,3
417,ơ,3
418,Ƣ,3
419,ƣ,3
420,Ƥ,3
421,ƥ,3
422,Ʀ,3
423,Ƨ,3
424,ƨ,3
425,Ʃ,3
426,ƪ,3
427,ƫ,3
428,Ƭ,3
429,ƭ,3
430,Ʈ,3
431,Ư,3
432,ư,3
433,Ʊ,3
434,Ʋ,3
435,Ƴ,3
436,ƴ,3
437,Ƶ,3
438,ƶ,3
439,Ʒ,3
440,Ƹ,3
441,ƹ,3
442,ƺ,3
443,ƻ,3
444,Ƽ,3
445,ƽ,3
446,ƾ,3
447,ƿ,3
448,ǀ,3
449,ǁ,3
450,ǂ,3
451,ǃ,3
452,Ǆ,3
453,ǅ,3
454,ǆ,3
455,Ǉ,3
456,ǈ,3
457,ǉ,3
458,Ǌ,3
459,ǋ,3
460,ǌ,3
461,Ǎ,3
462,ǎ,3
463,Ǐ,3
464,ǐ,3
465,Ǒ,3
466,ǒ,3
467,Ǔ,3
468,ǔ,3
469,Ǖ,3
470,ǖ,3
471,Ǘ,3
472,ǘ,3
473,Ǚ,3
474,ǚ,3
475,Ǜ,3
476,ǜ,3
477,ǝ,3
478,Ǟ,3
479,ǟ,3
480,Ǡ,3
481,ǡ,3
482,Ǣ,3
483,ǣ,3
484,Ǥ,3
485,ǥ,3
486,Ǧ,3
487,ǧ,3
488,Ǩ,3
489,ǩ,3
490,Ǫ,3
491,ǫ,3
492,Ǭ,3
493,ǭ,3
494,Ǯ,3
495,ǯ,3
496,ǰ,3
497,Ǳ,3
498,ǲ,3
499,ǳ,3
500,Ǵ,3
501,ǵ,3
502,Ƕ,3
503,Ƿ,3
504,Ǹ,3
505,ǹ,3
506,Ǻ,3
507,ǻ,3
508,Ǽ,3
509,ǽ,3
510,Ǿ,3
511,ǿ,3
512,Ȁ,3
513,ȁ,3
514,Ȃ,3
515,ȃ,3
516,Ȅ,3
517,ȅ,3
518,Ȇ,3
519,ȇ,3
520,Ȉ,3
521,ȉ,3
522,Ȋ,3
523,ȋ,3
524,Ȍ,3
525,ȍ,3
526,Ȏ,3
527,ȏ,3
528,Ȑ,3
529,ȑ,3
530,Ȓ,3
531,ȓ,3
532,Ȕ,3
533,ȕ,3
534,Ȗ,3
535,ȗ,3
536,Ș,3
537,ș,3
538,Ț,3
539,ț,3
540,Ȝ,3
541,ȝ,3
542,Ȟ,3
543,ȟ,3
544,Ƞ,3
545,ȡ,3
546,Ȣ,3
547,ȣ,3
548,Ȥ,3
549,ȥ,3
550,Ȧ,3
551,ȧ,3
552,Ȩ,3
553,ȩ,3
554,Ȫ,3
555,ȫ,3
556,Ȭ,3
557,ȭ,3
558,Ȯ,3
559,ȯ,3
560,Ȱ,3
561,ȱ,3
562,Ȳ,3
563,ȳ,3
564,ȴ,3
565,ȵ,3
566,ȶ,3
567,ȷ,3
568,ȸ,3
569,ȹ,3
570,Ⱥ,3
571,Ȼ,3
572,ȼ,3
573,Ƚ,3
574,Ⱦ,3
575,ȿ,3
576,ɀ,3
577,Ɂ,3
578,ɂ,3
579,Ƀ,3
580,Ʉ,3
581,Ʌ,3
582,Ɇ,3
583,ɇ,3
584,Ɉ,3
585,ɉ,3
586,Ɋ,3
587,ɋ,3
588,Ɍ,3
589,ɍ,3
590,Ɏ,3
591,ɏ,3
592,ɐ,3
593,ɑ,3
594,ɒ,3
595,ɓ,3
596,ɔ,3
597,ɕ,3
598,ɖ,3
599,ɗ,3
600,ɘ,3
601,ə,3
602,ɚ,3
603,ɛ,3
604,ɜ,3
605,ɝ,3
606,ɞ,3
607,ɟ,3
608,ɠ,3
609,ɡ,3
610,ɢ,3
611,ɣ,3
612,ɤ,3
613,ɥ,3
614,ɦ,3
615,ɧ,3
616,ɨ,3
617,ɩ,3
618,ɪ,3
619,ɫ,3
620,ɬ,3
621,ɭ,3
622,ɮ,3
623,ɯ,3
624,ɰ,3
625,ɱ,3
626,ɲ,3
627,ɳ,3
628,ɴ,3
629,ɵ,3
630,ɶ,3
631,ɷ,3
632,ɸ,3
633,ɹ,3
634,ɺ,3
635,ɻ,3
636,ɼ,3
637,ɽ,3
638,ɾ,3
639,ɿ,3
640,ʀ,3
641,ʁ,3
642,ʂ,3
643,ʃ,3
644,ʄ,3
645,ʅ,3
646,ʆ,3
647,ʇ,3
648,ʈ,3
649,ʉ,3
650,ʊ,3
651,ʋ,3
652,ʌ,3
653,ʍ,3
654,ʎ,3
655,ʏ,3
656,ʐ,3
657,ʑ,3
658,ʒ,3
659,ʓ,3
660,ʔ,3
661,ʕ,3
662,ʖ,3
663,ʗ,3
664,ʘ,3
665,ʙ,3
666,ʚ,3
667,ʛ,3
668,ʜ,3
669,ʝ,3
670,ʞ,3
671,ʟ,3
672,ʠ,3
673,ʡ,3
674,ʢ,3
675,ʣ,3
676,ʤ,3
677,ʥ,3
678,ʦ,3
679,ʧ,3
680,ʨ,3
681,ʩ,3
682,ʪ,3
683,ʫ,3
684,ʬ,3
685,ʭ,3
686,ʮ,3
687,ʯ,3
688,ʰ,3
689,ʱ,3
690,ʲ,3
691,ʳ,3
692,ʴ,3
693,ʵ,3
694,ʶ,3
695,ʷ,3
696,ʸ,3
697,ʹ,3
698,ʺ,3
699,ʻ,3
700,ʼ,3
701,ʽ,3
702,ʾ,3
703,ʿ,3
704,ˀ,3
705,ˁ,3
706,˂,3
707,˃,3
708,˄,3
709,˅,3
710,ˆ,3
711,ˇ,3
712,ˈ,3
713,ˉ,3
714,ˊ,3
715,ˋ,3
716,ˌ,3
717,ˍ,3
718,ˎ,3
719,ˏ,3
720,ː,3
721,ˑ,3
722,˒,3
